timestamp,Basel Temperature [2 m elevation corrected],Basel Wind Speed [10 m],Basel Wind Direction [10 m],Basel Shortwave Radiation
20220101T0000,6.4902453,5.0911684,188.1301,0
20220101T0100,6.0602455,3.9763298,174.80557,0
20220101T0200,5.5602455,4.32,180,0
20220101T0300,4.630245,3.2599385,173.6598,0
20220101T0400,3.6602454,3.5455887,156.0375,0
20220101T0500,3.8802452,3.671294,168.69006,0
20220101T0600,3.6502452,4.3498964,155.55605,0
20220101T0700,3.1102452,5.1919937,146.30994,0
20220101T0800,2.7302456,5.3999996,143.1301,0
20220101T0900,2.5102453,5.3517847,137.72632,0
20220101T1000,2.4402454,5.495161,148.3925,12
20220101T1100,4.2502456,6.638072,167.47119,94
20220101T1200,6.5302453,5.8048253,150.25511,193
20220101T1300,8.290245,6.439876,153.43495,268
20220101T1400,10.090245,5.95906,154.98311,294
20220101T1500,11.3102455,5.991594,147.26477,274
20220101T1600,12.100245,5.692099,145.30484,207
20220101T1700,10.530245,6.28713,156.37062,110
20220101T1800,7.3002453,5.6920996,161.56505,19
20220101T1900,5.9902453,6.0347,162.64597,0
20220101T2000,5.8002453,5.937272,165.96376,0
20220101T2100,5.170245,5.315336,151.69923,0
20220101T2200,4.4902453,5.495161,148.3925,0
20220101T2300,3.9102454,5.495161,148.3925,0
20220102T0000,3.5702453,6.193674,144.46231,0
20220102T0100,3.4202452,6.6087217,150.64224,0
20220102T0200,2.8802452,6.28713,156.37062,0
20220102T0300,3.0202456,6.379216,163.61046,0
20220102T0400,2.3602452,6.379216,163.61046,0
20220102T0500,2.3102455,7.24486,153.43495,0
20220102T0600,2.3802454,8.0899935,147.72435,0
20220102T0700,2.4202454,8.435069,140.19443,0
20220102T0800,2.5802455,7.653705,138.81407,0
20220102T0900,2.9402456,7.10031,149.53445,0
20220102T1000,3.5602455,6.9527545,158.7495,9
20220102T1100,5.0602455,6.924738,171.02737,67
20220102T1200,6.540245,11.159999,180,129
20220102T1300,8.340245,11.966954,195.70863,118
20220102T1400,9.950245,10.661107,191.68936,104
20220102T1500,11.590245,10.365251,200.32314,167
20220102T1600,12.150246,11.609651,209.74489,181
20220102T1700,12.020246,10.799999,216.8699,101
20220102T1800,11.270246,11.090103,215.75389,14
20220102T1900,10.740245,13.755579,227.1211,0
20220102T2000,10.660245,15.124284,218.23383,0
20220102T2100,11.000245,15.778516,235.22217,0
20220102T2200,11.720245,15.1884165,238.57043,0
20220102T2300,12.5602455,15.077082,236.68938,0
20220103T0000,12.240245,16.135872,231.3402,0
20220103T0100,12.300245,18.668005,230.47737,0
20220103T0200,12.290245,20.26899,236.59218,0
20220103T0300,12.460245,20.608229,242.98734,0
20220103T0400,12.460245,19.483284,242.488,0
20220103T0500,12.550245,16.78156,234.60521,0
20220103T0600,12.370245,17.068707,242.35403,0
20220103T0700,11.910245,14.982228,234.78241,0
20220103T0800,11.740245,13.089354,238.49574,0
20220103T0900,11.670245,11.457958,226.27303,0
20220103T1000,11.670245,13.392774,233.74615,7
20220103T1100,11.680245,15.30741,228.81409,21
20220103T1200,11.800245,13.493999,223.91908,66
20220103T1300,11.920245,12.88981,215.90973,110
20220103T1400,12.190246,14.003028,223.95837,66
20220103T1500,12.370245,14.529915,221.98721,99
20220103T1600,12.330245,14.277983,236.30994,107
20220103T1700,12.270246,13.493999,226.08093,56
20220103T1800,12.040245,13.004922,228.36647,11
20220103T1900,11.860246,11.885453,215.13419,0
20220103T2000,11.510245,12.55879,207.29958,0
20220103T2100,11.420245,14.007655,205.90651,0
20220103T2200,11.350245,12.783802,212.34744,0
20220103T2300,11.420245,13.392774,216.25385,0
20220104T0000,11.150246,16.548256,224.11859,0
20220104T0100,11.440246,16.92383,218.08878,0
20220104T0200,11.400246,15.1884165,211.42957,0
20220104T0300,11.420245,15.844089,201.31792,0
20220104T0400,11.950245,14.24163,200.72556,0
20220104T0500,12.010245,16.055353,199.65382,0
20220104T0600,12.320246,21.470612,214.75592,0
20220104T0700,12.140245,22.473343,215.21759,0
20220104T0800,12.130245,22.870626,208.17859,0
20220104T0900,12.900246,26.785547,216.25385,0
20220104T1000,13.720245,26.712873,217.33319,4
20220104T1100,14.150246,25.661207,214.13594,41
20220104T1200,15.3102455,28.90107,230.55995,122
20220104T1300,15.920245,25.77962,234.09029,121
20220104T1400,16.250246,27.169865,237.99463,139
20220104T1500,15.070246,28.185955,241.79837,108
20220104T1600,13.380245,26.525429,251.81096,56
20220104T1700,13.030245,21.316135,265.156,29
20220104T1800,13.270246,13.339445,273.09406,3
20220104T1900,12.550245,10.041354,284.53445,0
20220104T2000,11.420245,9.19939,300.57922,0
20220104T2100,9.620245,9.931042,316.4688,0
20220104T2200,8.080246,11.966954,316.21887,0
20220104T2300,7.250245,11.525623,308.65982,0
20220105T0000,6.290245,10.105681,265.91437,0
20220105T0100,5.670245,9.085988,236.30994,0
20220105T0200,5.610245,8.654986,196.92752,0
20220105T0300,5.6002455,12.641076,199.98311,0
20220105T0400,5.480245,14.689588,216.02737,0
20220105T0500,5.4702454,14.336861,218.88449,0
20220105T0600,5.3102455,15.696165,233.39293,0
20220105T0700,4.8502455,15.328561,260.5377,0
20220105T0800,4.2102456,15.509274,291.8014,0
20220105T0900,3.8802452,14.81259,295.94232,0
20220105T1000,3.4402456,12.57426,283.2405,5
20220105T1100,3.1302452,13.039754,276.34018,56
20220105T1200,3.2002454,14.869351,276.95297,174
20220105T1300,3.2502456,14.869351,276.95297,180
20220105T1400,3.7002454,15.192682,283.70697,228
20220105T1500,4.1002455,14.759999,282.6804,221
20220105T1600,4.0402455,12.371645,278.3659,142
20220105T1700,3.7402453,9.47012,261.25385,91
20220105T1800,2.4002454,7.10031,239.53445,21
20220105T1900,1.9502454,5.6233797,230.19443,0
20220105T2000,0.9002454,5.3517847,227.72632,0
20220105T2100,0.84024537,5.6233797,230.19443,0
20220105T2200,1.2002454,5.0911684,225,0
20220105T2300,1.3602455,4.8433046,221.98721,0
20220106T0000,1.2002454,6.151683,200.55605,0
20220106T0100,1.0702454,5.95906,205.01689,0
20220106T0200,1.5602454,5.1919937,213.69006,0
20220106T0300,1.7302454,5.1165614,219.28941,0
20220106T0400,1.8102454,4.8433046,221.98721,0
20220106T0500,2.0002456,4.8433046,221.98721,0
20220106T0600,1.9902455,5.1165614,219.28941,0
20220106T0700,1.8102454,4.6102495,218.65982,0
20220106T0800,1.8002454,4.3349743,221.63354,0
20220106T0900,1.6702454,6.1305785,220.23636,0
20220106T1000,2.1002455,5.00128,210.25644,11
20220106T1100,2.4702454,3.0547013,225,77
20220106T1200,3.2502456,4.39436,304.99203,135
20220106T1300,3.5602455,6.28713,336.37064,144
20220106T1400,4.170245,6.9899354,348.11133,140
